Cat_SMILES,Cat_MW,Cat_Rad_Gyr,Cat_Len_x,Cat_Len_y,Cat_Len_z,Cat_MPP,Cat_SDP
C[N+]1(CCCF)C2CCC1CC(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,412.517882,4.18443254,16.265,7.327,11.336,1.258957,5.160535
Cc1cc2c3ccccc3[n+]1CCCCCCCCCC[n+]1c(C)cc(c3ccccc31)NCCCCCCCCCCN2,594.916812,5.76340098,19.226,12.784,8.616,1.227331,6.117464
C[N+]1(C)[C@@H]2C[C@@H](OC3c4ccccc4CSc4ccccc43)C[C@H]1[C@@H]1O[C@@H]12,380.523686,3.77769372,11.007,13.597,7.896,1.36916,5.637441
C[N+](C)(C)CCOC(=O)C1CCC[N+]1(C)C,230.347507,3.4334381,6.463,7.224,13.387,1.128212,4.050765
COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)[C@H]3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1[C@@H](C2)[N+](C)(C)CC3,652.820428,4.87887405,13.642,16.545,9.153,1.502029,6.843417
C[N+]1(C)CCCC1COC(=O)C(O)(c1ccccc1)C1CCCCC1,346.484476,3.75222889,6.85,14.439,11.632,1.187002,4.479674
CCOCC(O)COc1ccc(NC(=O)CC[S+](C)C)cc1,328.447344,5.55713414,7.929,20.97,6.139,0.867141,3.64104
COc1ccc2[nH]c3ccc4cc[n+](CCN5CCC(C6CCN(CC[n+]7ccc8ccc9[nH]c%10ccc(OC)cc%10c9c8c7)CC6)CC5)cc4c3c2c1,718.929918,8.00578877,10.284,12.515,26.807,1.736559,7.945254
C[N+](C)(C)CC1COCO1,146.207716,2.35502948,9.68,6.307,6.547,1.012737,3.830339
CC[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)CC,318.452786,4.14103837,15.594,10.19,7.63,1.354223,4.888569
CC[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,354.463449,3.80589515,11.503,14.167,8.587,1.507721,6.19274
CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,304.533906,3.66254357,12.455,11.615,9.126,1.535406,7.007954
COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCCCCCCCCC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC,855.154528,4.85039937,11.723,18.278,13.613,2.223362,10.147322
O=[N+]([O-])c1ccc(-c2csc3[n+]2CCN3)o1,238.243261,3.13019114,8.734,12.068,4.214,0.367773,1.813968
CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,652.820428,4.87887405,13.642,16.545,9.153,1.502029,6.843417
CC[N+]1(CC)CCC(=C(c2ccccc2)c2ccccc2)C1C,306.465234,3.49886256,8.256,13.357,11.343,1.462632,5.824229
COCCOCCOCCOCCOC(=O)OC[n+]1ccc(N/C(=N/CCCCCCOc2ccc(Cl)cc2)NC#N)cc1,637.145222,5.83424186,14.498,17.749,8.821,1.479276,6.412869
C[S+](C)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,323.470649,3.6318891,14.992,7.579,10.302,1.123607,5.137451
CN(C)C(=O)Oc1ccc[n+](C)c1,181.212069,2.82713984,7.611,11.47,4.97,0.631881,2.657849
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,223.291921,3.18992959,6.497,8.573,12.593,0.937222,4.056498
