iter	Passed	Remaining
0	0	5543
1	0	3539
2	1	4810
3	1	3889
4	1	3465
5	1	3201
6	2	2940
7	2	2694
8	2	2483
9	2	2403
10	2	2544
11	2	2430
12	3	2328
13	3	2234
14	3	2145
15	3	2078
16	3	2043
17	3	2092
18	3	2057
19	4	2006
20	4	1961
21	4	2001
22	4	1982
23	4	2073
24	5	2054
25	5	2022
26	5	1991
27	5	1962
28	5	1960
29	5	1970
30	6	1967
31	6	1941
32	6	1916
33	6	1892
34	6	1868
35	6	1846
36	6	1825
37	6	1805
38	6	1786
39	7	1767
40	7	1749
41	7	1727
42	7	1718
43	7	1715
44	7	1701
45	7	1704
46	7	1686
47	8	1669
48	8	1667
49	8	1660
50	8	1666
51	8	1654
52	8	1640
53	8	1625
54	8	1623
55	9	1623
56	9	1622
57	9	1621
58	9	1610
59	9	1601
60	9	1591
61	9	1580
62	10	1583
63	10	1574
64	10	1644
65	10	1638
66	10	1627
67	11	1625
68	11	1622
69	11	1616
70	11	1607
71	11	1601
72	11	1590
73	11	1592
74	12	1588
75	12	1577
76	12	1567
77	12	1572
78	12	1563
79	12	1556
80	12	1547
81	12	1539
82	12	1540
83	13	1535
84	13	1526
85	13	1517
86	13	1517
87	13	1510
88	13	1502
89	13	1498
90	13	1489
91	13	1485
92	13	1481
93	13	1472
94	14	1470
95	14	1464
96	14	1465
97	14	1460
98	14	1456
99	14	1453
100	14	1457
101	14	1455
102	15	1447
103	15	1441
104	15	1436
105	15	1429
106	15	1430
107	15	1424
108	15	1419
109	15	1423
110	16	1426
111	16	1423
112	16	1419
113	16	1420
114	16	1415
115	16	1410
116	16	1404
117	16	1398
118	16	1393
119	16	1388
120	16	1383
121	17	1387
122	17	1439
123	18	1437
124	18	1435
125	18	1429
126	18	1427
127	18	1424
128	18	1420
129	18	1420
130	18	1415
131	18	1414
132	19	1413
133	19	1418
134	19	1415
135	19	1409
136	19	1405
137	19	1404
138	19	1399
139	19	1395
140	19	1390
141	20	1389
142	20	1388
143	20	1383
144	20	1379
145	20	1378
146	20	1373
147	20	1372
148	20	1371
149	20	1373
150	21	1370
151	21	1368
152	21	1365
153	21	1361
154	21	1359
155	21	1359
156	21	1354
157	21	1353
158	21	1350
159	21	1346
160	21	1344
161	22	1343
162	22	1340
163	22	1338
164	22	1335
165	22	1335
166	22	1333
167	22	1333
168	22	1336
169	23	1334
170	23	1333
171	23	1331
172	23	1327
173	23	1324
174	23	1320
175	23	1319
176	23	1317
177	23	1315
178	23	1311
179	23	1308
180	24	1305
181	24	1302
182	24	1301
183	24	1299
184	24	1296
185	24	1295
186	24	1293
187	24	1292
188	24	1291
189	24	1289
190	25	1287
191	25	1285
192	25	1283
193	25	1281
194	25	1281
195	25	1280
196	25	1278
197	25	1275
198	25	1273
199	25	1273
200	26	1272
